Q96IZ0	Q9D5L7
Q8R5B6	Q96IZ0
O88838	P08581
O94906	P51531
P51531	Q07666
P24928	P50613
P06493	P50613
P24941	P50613
P50613	Q6IAW3
P50613	Q9BWU1
O00267	P50613
P21127-12	P50613
O00267	P50750
Q96HT8	Q9UBU8
Q9NV56	Q9UBU8
Q06787	Q7Z417
O75695	Q9WUL7
O00330	P09622
P06396	P68135
P07737	P68135
P08238	P53041
P04637	Q8WTS6
Q15545	Q8WTS6
O14964	P62990
P25686	P62990
P04637	Q93009
P03211	Q93009
P60605	Q9UKV5
O18973	P61077
P61077	Q96BH1
O08538	Q02763
O75436	Q96QK1
O75436	Q9UBQ0
P40335	Q96QK1
P63165	P63279
P46060	P63279
P46060	P63165
P04637	P63165
P39016	Q9UFF9
P39008	Q14671
Q14671	Q9UFF9
O14745	P26043
P26043	Q15599
P83916	Q7Z589
P01112	Q5EBH1
P62834	Q5EBH1
O60609	Q5T4W7
P35236	P63086
P36507	P63086
P24643	P30101
P23510	P43488
P15374	Q5U5U6
O75604	P62990
O75604	Q5U5U6
P62491	Q7L804
P04637	Q9WYW0
Q12874	Q15459
Q07812	Q99MI6
Q07812	Q8BWF2
Q16611	Q99MI6
Q16611	Q8BWF2
Q92934	Q99MI6
Q8BWF2	Q92934
O43521	Q99MI6
O43521	Q8BWF2
P01857	P04488
P19447	Q6ZYL4
Q13888	Q6ZYL4
P26196	Q9UKV8
Q9UKV8	Q9UL18
Q6KC79	Q9Y6X3
O60216	Q9UQE7
O95477	P03407
P62993	Q62245
O43561	P62993
P54198	Q9Y294
P54198	Q9NVP2
Q13112	Q9Y294
Q04199	Q9Y294
Q13112	Q9NVP2
Q62897	Q9NZI2
P62988	Q86VN1
P63165	Q9P0U3
P61956	Q9P0U3
P61956	Q9HC62
P55854	Q9HC62
P63165	Q9HC62
P63000	Q00722
P62837	Q15843
P62988	Q99942
P25963	P62988
P68135	Q9UQB8
P43686	Q9Z2X2
P06400	Q9Z2X2
P35968	Q9MYV3
P35968	P52584
P31345	P52294
P25391	Q61033
P52272	Q92973
P09651	Q92973
Q9UJ41	Q9UL25
Q15276	Q9UJ41
Q03114	Q16620
P25789	P60900
P62988	Q9NVI1
Q9BXW9	Q9NVI1
P03081	P30153
P30153	P67775
O75376	Q06455
O75376	Q99081
O15355	P67809
O15355	P08621
O15355	P61247
O15355	P09012
P26368	Q96I25
Q15637	Q96I25
O75533	Q96I25
P54274	Q9BSI4
P54259	Q9ULD9
Q12931	Q9BXM7
P06400	P43686
P10515	Q15120
P00533	P01133
P21860	Q02297
P01344	P11717
P30273	Q8WTT0
P63005	Q9GZM8
P04637	Q8WUF5
Q8WUF5	Q9H3D4
O15350	Q8WUF5
Q13936	Q8VGC3
O75716	P32233
O14920	Q777A4
Q15628	Q777A4
Q5EE38	Q9NUX5
Q91WC1	Q96AP0
Q3TNS5	Q96AP0
Q96AP0	Q9NUX5
Q6P2Q9	Q7KZF4
P38398	Q6UWZ7
P13569-1	P26361
P02647	P04180
Q9UL18	Q9UPQ9
Q9UKV8	Q9UPQ9
P35221	Q9UHB6
P12830	Q9UHB6
P35222	Q9ERG0
P29083	P32780
P29083	P32776
Q60838	Q9Y4D1
P35222	Q9Y3M2
Q12834	Q13257
Q13257	Q9Y6D9
P07900	Q9UHH9
P07823	Q9UBS4
P62988	Q29983
P16435	P99999
